well_id,window_size,window_number,start_time,end_time,n_points,duration_actual,mean,std,min,max,median,q25,q75,range,cv,skewness,kurtosis,slope,catch22_DN_HistogramMode_5,catch22_DN_HistogramMode_10,catch22_CO_f1ecac,catch22_CO_FirstMin_ac,catch22_CO_HistogramAMI_even_2_5,catch22_CO_trev_1_num,catch22_MD_hrv_classic_pnn40,catch22_SB_BinaryStats_mean_longstretch1,catch22_SB_TransitionMatrix_3ac_sumdiagcov,catch22_PD_PeriodicityWang_th0_01,catch22_CO_Embed2_Dist_tau_d_expfit_meandiff,catch22_IN_AutoMutualInfoStats_40_gaussian_fmmi,catch22_FC_LocalSimple_mean1_tauresrat,catch22_DN_OutlierInclude_p_001_mdrmd,catch22_DN_OutlierInclude_n_001_mdrmd,catch22_SP_Summaries_welch_rect_area_5_1,catch22_SB_BinaryStats_diff_longstretch0,catch22_SB_MotifThree_quantile_hh,catch22_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,catch22_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,catch22_SP_Summaries_welch_rect_centroid,catch22_FC_LocalSimple_mean3_stderr,catch22_success,sax_coarse_string,sax_coarse_entropy,sax_coarse_n_unique,sax_coarse_transitions,sax_coarse_longest_run,sax_coarse_complexity,sax_coarse_n_symbols,sax_coarse_alphabet_size,sax_coarse_dominant_symbol,sax_coarse_dominant_freq,sax_coarse_uniformity,sax_coarse_trend_increasing,sax_coarse_trend_decreasing,sax_coarse_trend_stable,sax_medium_string,sax_medium_entropy,sax_medium_n_unique,sax_medium_transitions,sax_medium_longest_run,sax_medium_complexity,sax_medium_n_symbols,sax_medium_alphabet_size,sax_medium_dominant_symbol,sax_medium_dominant_freq,sax_medium_uniformity,sax_medium_trend_increasing,sax_medium_trend_decreasing,sax_medium_trend_stable,sax_fine_string,sax_fine_entropy,sax_fine_n_unique,sax_fine_transitions,sax_fine_longest_run,sax_fine_complexity,sax_fine_n_symbols,sax_fine_alphabet_size,sax_fine_dominant_symbol,sax_fine_dominant_freq,sax_fine_uniformity,sax_fine_trend_increasing,sax_fine_trend_decreasing,sax_fine_trend_stable,catch22_error,catch22_n_points,sax_error
06e6ebb9-f553-48e8-a894-c3d02328f599_1,24,0,0.0,24.0,12,12.633333333333333,-2.2166667,6.3948,-5.9,18.15,-4.425,-5.1000004,-3.7250001,24.05,-2.8848722,2.6495762,5.6087694,-0.2674348766891785,-0.19139159396523087,-0.37142944117550397,0.7540414202271309,3.0,0.05053430784314128,1.7681106449091393,1.0,3.0,0.04000000000000001,0.0,0.3034353411339199,4.0,0.5,-0.08333333333333337,0.33333333333333326,0.0,4.0,1.4681399390162087,0.0,0.0,1.1780972450962501,1.413227764733853,True,bcba,1.5,3.0,3.0,1.0,3.0,4.0,3.0,1.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.0,bbbdbbbb,0.5435644431995964,2.0,2.0,4.0,4.0,8.0,4.0,1.0,0.875,0.5,0.14285714285714285,0.14285714285714285,0.7142857142857143,ccbcfecbcbcb,1.6258145836939115,4.0,10.0,2.0,6.0,16.0,6.0,2.0,0.5,0.6666666666666666,0.36363636363636365,0.5454545454545454,0.09090909090909091,,,
06e6ebb9-f553-48e8-a894-c3d02328f599_1,24,1,12.0,36.0,12,22.733333333333334,-5.0208335,0.46567976,-5.9,-4.2,-4.95,-5.3625,-4.7,1.7000003,-0.09274949,-0.065497376,-0.74753666,0.03217865333877176,-0.7589982433761066,0.11479227791733809,0.5394393204345629,2.0,0.6206868526328015,1.8658361388606843,0.9090909090909091,5.0,0.0303030303030303,0.0,0.2914812421490304,2.0,1.0,0.25,0.5,2.5679065925163148e-34,4.0,1.8462202193216333,0.0,0.0,1.570796326795,1.1668303025320688,True,bbcb,0.8112781244591328,2.0,2.0,2.0,3.0,4.0,3.0,1.0,0.75,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,accbdcac,1.75,4.0,6.0,2.0,6.0,8.0,4.0,2.0,0.5,1.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,aedddbffbbeb,2.188721875540867,5.0,7.0,3.0,9.0,16.0,6.0,1.0,0.3333333333333333,0.8333333333333334,0.2727272727272727,0.36363636363636365,0.36363636363636365,,,
06e6ebb9-f553-48e8-a894-c3d02328f599_1,24,2,24.0,48.0,24,22.033333333333335,-5.0729165,0.46434972,-6.05,-4.2,-4.975,-5.4125,-4.7875004,1.8500004,-0.09153506,-0.013135793,-0.67381716,-0.025864786857199975,-0.10980241406233299,0.0852067135232166,0.643084191692269,2.0,0.23379377754351305,2.1238835140928862,0.9130434782608695,4.0,0.02203856749311295,2.0,0.12349229692697583,3.0,0.5,-0.16666666666666663,0.5833333333333333,0.14626561306871197,4.0,1.9307993395350334,0.0,0.0,1.767145867644375,1.1549565749577357,True,cbca,1.5,3.0,3.0,1.0,3.0,4.0,3.0,2.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.0,ccbbdcab,1.811278124459133,4.0,5.0,2.0,5.0,8.0,4.0,2.0,0.375,1.0,0.2857142857142857,0.42857142857142855,0.2857142857142857,eddefbfbfdcdaaad,2.4300365325772657,6.0,12.0,3.0,10.0,16.0,6.0,3.0,0.3125,1.0,0.4,0.4,0.2,,,
06e6ebb9-f553-48e8-a894-c3d02328f599_1,24,3,36.0,60.0,25,23.15,-5.436,0.52354944,-6.45,-4.3,-5.55,-5.75,-5.0,2.1499996,-0.096311525,0.20953529,-0.49009967,-0.0390549121430651,-0.6905644880175975,-0.4893837791571221,0.8075452368604569,2.0,0.5075514631191762,1.419065063380814,0.9166666666666666,7.0,0.1111111111111111,2.0,0.09758506302806842,1.0,0.125,-0.48,0.43999999999999995,0.26443181628251633,4.0,2.0482408076705214,0.0,0.0,1.1780972450962501,0.9668094865504702,True,cbba,1.5,3.0,2.0,2.0,3.0,4.0,3.0,1.0,0.5,1.0,0.0,0.6666666666666666,0.3333333333333333,ddccbbab,1.9056390622295665,4.0,4.0,2.0,5.0,8.0,4.0,1.0,0.375,1.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,cffeecbdbecaabdb,2.5306390622295662,6.0,12.0,2.0,10.0,16.0,6.0,1.0,0.25,1.0,0.3333333333333333,0.4666666666666667,0.2,,,
06e6ebb9-f553-48e8-a894-c3d02328f599_1,24,4,48.0,72.0,24,22.416666666666664,-5.5812497,0.46161228,-6.45,-4.75,-5.65,-5.8250003,-5.2,1.6999998,-0.082707696,-0.01692418,-0.84444165,0.006207766955029875,-0.03976313652251201,-0.22002331796922872,0.6689019432269285,1.0,0.43299542125599255,0.6418239125218012,0.9565217391304348,5.0,0.054421768707482984,4.0,0.17969502095988807,4.0,0.3333333333333333,0.16666666666666674,-0.33333333333333337,0.23118920991820543,5.0,1.9565588879179248,0.0,0.0,1.374446785945625,1.135778677668831,True,bbcb,0.8112781244591328,2.0,2.0,2.0,3.0,4.0,3.0,1.0,0.75,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,cabbddbb,1.75,4.0,4.0,2.0,6.0,8.0,4.0,1.0,0.5,1.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,aecbadcceefdebad,2.48345859334435,6.0,13.0,2.0,10.0,16.0,6.0,4.0,0.25,1.0,0.4,0.4666666666666667,0.13333333333333333,,,
06e6ebb9-f553-48e8-a894-c3d02328f599_1,24,5,60.0,84.0,23,22.733333333333334,-5.5739136,0.48809066,-6.45,-4.75,-5.55,-5.8500004,-5.2,1.6999998,-0.08756696,-0.17198789,-0.916914,-0.027926846731271715,-0.05227197154452301,0.11804808513323473,0.6185464148258102,1.0,0.5853849883686457,1.2407087488352488,0.9545454545454546,4.0,0.009641873278236915,4.0,0.1254998284144647,2.0,1.0,-0.3913043478260869,0.4782608695652173,0.16057611374031325,5.0,2.0982737395252498,0.0,0.0,1.570796326795,1.148792590380553,True,cbbb,0.8112781244591328,2.0,1.0,3.0,3.0,4.0,3.0,1.0,0.75,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,dccbbbcb,1.4056390622295665,3.0,4.0,3.0,5.0,8.0,4.0,1.0,0.5,0.75,0.14285714285714285,0.42857142857142855,0.42857142857142855,efecedaebcebfbac,2.4300365325772657,6.0,15.0,1.0,9.0,16.0,6.0,4.0,0.3125,1.0,0.4666666666666667,0.5333333333333333,0.0,,,
06e6ebb9-f553-48e8-a894-c3d02328f599_1,24,6,72.0,96.0,23,23.46666666666667,-5.28913,2.1719036,-6.65,4.55,-5.55,-6.25,-5.35,11.200001,-0.41063532,3.9975102,15.338945,0.08179275134696912,-0.10846482213289976,-0.36063570694604136,0.6457893692384753,2.0,0.010043658705848307,0.26073222953726716,0.9545454545454546,2.0,0.02203856749311295,5.0,0.2179876483506087,4.0,0.5,0.5652173913043479,0.13043478260869557,0.10427997857096963,3.0,1.9722469794234416,0.0,0.0,1.374446785945625,1.2503962572638452,True,bbbc,0.8112781244591328,2.0,1.0,3.0,3.0,4.0,3.0,1.0,0.75,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,bbbbbbbd,0.5435644431995964,2.0,1.0,7.0,4.0,8.0,4.0,1.0,0.875,0.5,0.14285714285714285,0.0,0.8571428571428571,cccbccbdccecbcfc,1.6266144718101818,5.0,11.0,3.0,7.0,16.0,6.0,2.0,0.625,0.8333333333333334,0.3333333333333333,0.4,0.26666666666666666,,,
06e6ebb9-f553-48e8-a894-c3d02328f599_1,24,7,84.0,108.0,24,23.58333333333333,-5.2916665,2.1332521,-6.65,4.55,-5.55,-6.3,-5.25,11.200001,-0.4031343,4.0434036,15.904476,-0.009892113199392729,-0.10937071304020574,-0.3663535817602838,0.6476059342156292,4.0,0.009106121538830805,0.2675182159218202,0.9565217391304348,3.0,0.02203856749311295,5.0,0.22968705237699252,4.0,0.5,-0.41666666666666663,0.02083333333333337,0.08962807306195239,3.0,2.1779132692117056,0.0,0.0,1.374446785945625,1.3039273680384955,True,bcbb,0.8112781244591328,2.0,2.0,2.0,3.0,4.0,3.0,1.0,0.75,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,bbbdbbbb,0.5435644431995964,2.0,2.0,4.0,4.0,8.0,4.0,1.0,0.875,0.5,0.14285714285714285,0.14285714285714285,0.7142857142857143,ccecbcfcccdcdccc,1.4966407621868583,5.0,10.0,3.0,8.0,16.0,6.0,2.0,0.6875,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,
06e6ebb9-f553-48e8-a894-c3d02328f599_1,24,8,96.0,120.0,23,22.200000000000003,-5.15,0.7818596,-6.5,-3.45,-5.1,-5.625,-4.825,3.05,-0.1518174,0.1890533,-0.47523808,0.0824193222724386,0.21890549045043106,0.4096660100183105,1.3095876966731002,2.0,0.3569869013088353,0.31301146120454215,1.0,9.0,0.16666666666666669,2.0,0.09306065779156143,1.0,0.125,0.5217391304347827,-0.4782608695652174,0.4852420947789675,3.0,1.9876923464048415,0.0,0.0,0.39269908169875,0.855736956660745,True,aabc,1.5,3.0,2.0,2.0,3.0,4.0,3.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.3333333333333333,ababbddd,1.561278124459133,3.0,4.0,3.0,5.0,8.0,4.0,1.0,0.375,0.75,0.42857142857142855,0.14285714285714285,0.42857142857142855,aacbbadbbcfedfde,2.5306390622295662,6.0,12.0,2.0,10.0,16.0,6.0,1.0,0.25,1.0,0.4,0.4,0.2,,,
06e6ebb9-f553-48e8-a894-c3d02328f599_1,24,9,108.0,132.0,11,10.116666666666674,-4.5772724,0.5905944,-5.65,-3.45,-4.8,-4.9,-4.1499996,2.2,-0.12902759,0.25182697,-0.4948907,0.04756644644708387,-0.6663119363724883,-0.48872662193659133,0.5616772616894209,2.0,0.5329288698062243,-0.19649877961638934,1.0,3.0,0.013333333333333334,2.0,0.3391595654519634,3.0,1.0,0.0,0.0,6.303043454358227e-34,3.0,2.0253262207700677,0.0,0.0,1.570796326795,1.1457160694248798,True,acbb,1.5,3.0,2.0,2.0,4.0,4.0,3.0,1.0,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,abdbbcbc,1.75,4.0,6.0,2.0,6.0,8.0,4.0,1.0,0.5,1.0,0.5714285714285714,0.2857142857142857,0.14285714285714285,abefcbfbbec,2.186704345910025,5.0,9.0,2.0,8.0,16.0,6.0,1.0,0.36363636363636365,0.8333333333333334,0.5,0.4,0.1,,,
