drug,fourier_dim_0,fourier_dim_1,fourier_dim_2,fourier_dim_3,fourier_dim_4,fourier_dim_5,fourier_dim_6,fourier_dim_7,fourier_dim_8,fourier_dim_9,sax_dim_0,sax_dim_1,sax_dim_2,sax_dim_3,sax_dim_4,sax_dim_5,sax_dim_6,sax_dim_7,sax_dim_8,sax_dim_9,catch22_dim_0,catch22_dim_1,catch22_dim_2,catch22_dim_3,catch22_dim_4,catch22_dim_5,catch22_dim_6,catch22_dim_7,catch22_dim_8,catch22_dim_9,custom_dim_0,custom_dim_1,custom_dim_2,custom_dim_3,custom_dim_4,custom_dim_5,custom_dim_6,custom_dim_7,custom_dim_8,dili_risk_numeric,molecular_weight,logp
Darolutamide,-0.31377262509701154,-0.28330327922313703,0.5721170760622123,1.4320121179863572,1.5166353639255585,-0.45303141077187165,1.2350114641330923,1.5204344529128242,-0.8640627987846198,0.027824355541069285,0.15508642716255464,-0.2717690669533978,-0.2577643076062007,0.5485610780412483,-0.34025538298667607,-0.41236803217094736,-0.2671438499803308,-0.2527657970490766,-0.12220951155377002,-0.30732926235927316,-0.38034597568177986,-0.44005775649007756,-0.20058456286114867,0.004695636012321734,0.3818341509975013,-0.47361755183391263,0.18564565627156857,-0.12456046393235456,-0.5410758347560117,0.4291472349320909,-0.3785214322623965,-0.09322593411582626,-0.7217032849994068,-0.4691229874875482,-0.2645366654175148,-0.20426187123900943,-0.6235298896349548,-0.6365553811131669,-0.410738383563242,0.0,398.8,1.8
Pemigatinib,0.05079584838031386,0.09551193266112475,0.07678102605137342,0.3217282648559829,-0.16343385716076725,0.27421617156251943,1.170186046763109,0.40294756796447156,0.45532305768224085,0.8501928162362707,0.5832834302669225,-0.39782189930114215,-0.6730447520204726,-0.8070162287163862,-0.34025538298667607,0.492586485447318,-0.5531496875115703,-0.5380119130396995,0.5591708390415567,1.1041187525483938,0.8030096225573831,0.5722194403346658,-0.18979385593668446,-0.23450572602072642,-0.4151706614458827,0.8711266698203012,-1.1460114019992336,0.045583039282786064,0.022079535563655512,0.2885646692313685,0.060676369453783706,0.24258620563272754,0.04082065344595672,1.5383417817861589,1.5217638543932324,0.0992379802988509,-0.1163261422955311,-0.31675136844622215,-0.4370472672178221,0.0,487.5,1.8
Docetaxel,-0.2550808203660973,-0.15448908105486864,-0.45597320317215617,-0.18832109000677413,0.13089635866732025,0.6349915287914787,-0.21140230068061247,-0.4093839452532559,0.029477167618434077,0.5716368204812498,-0.8678513133327225,0.0960994029594071,-0.05012408539906478,-0.20896741691154755,-0.04350018208007657,-0.21126702825577728,-0.03016758459730378,0.4351807179871315,0.2971014734279696,-0.07208792654132869,-0.8466307734109713,-0.547669220448165,0.8555291203008542,-0.2910293355422343,0.5258624870237465,-0.4164729528268839,1.1470662230051971,0.8061535003879675,1.5270224059323603,-0.07872311503178,-0.02825810269816075,0.12737017832051326,-0.6939364652635854,-0.05308706633313944,0.14231010318311263,-0.7111896757811033,0.35818645505147245,1.5468815689263757,1.2509797253788335,2.0,807.9,1.6
Sorafenib,0.9195252470970244,0.8899173425956547,0.09782243259047295,0.22798333963684594,0.8366501915237059,0.5796065001962422,0.4266640728524708,0.2375816177853231,0.2069740046155924,0.03171302529496572,0.19332073217441592,-0.5393097723445287,0.49863935900550876,0.3691464344997965,-0.34025538298667607,-0.26154227923456974,-0.5041201153633578,-0.4401333438272309,-0.3842788771673572,0.006325852064652844,0.6240891433895814,0.47001585401541146,0.12119658067647997,0.6444773611760566,0.0003614182354197415,-0.27557860288531766,-0.3950367164396827,0.49970184971069703,-0.24410302615689752,0.05046086426077569,0.7603719931291784,0.7355183629141616,0.18803941148067613,0.5791558365973312,0.5243379100089793,0.17423674249374382,0.5220955852865699,0.25712389489735843,-0.4598684867015681,2.0,464.8,4.1
Tazemetostat,-0.39334582068169965,-0.45030026462789025,-0.7894413213196237,-0.8868417162246673,-0.6901633193337551,-0.5976190873817178,-1.1944196569875392,-0.6903582327151065,-0.15233816325440339,-0.6578039869565171,1.142919360920963,-0.5418822791271357,0.4393135812320414,0.48875619686076427,-0.010527381979343331,0.7272043233483497,-0.5259110363181189,-0.5631806879800486,0.069974689896194,0.450670597498548,0.9833600152155851,0.3289187837763591,-0.6960865908611158,-0.5747396268120254,-1.192783589782436,1.237052869503359,-0.23792301063163848,-0.6917860350203305,-0.3215608951812358,-0.12094010172869361,-0.667858025543589,-0.6539414777195695,0.015484202195584313,-0.322098132898652,-0.3253876216120567,-0.8115510826030696,-0.577903826685036,-0.3992988037938593,-0.4429088095223029,1.0,572.7,4.2
Cisplatin,-0.4892665112222464,-0.49098667197208795,-0.17399133424482915,0.40002176642054943,-0.04780568060711042,0.08351635655398075,1.097725198153925,0.19029259976490467,-0.3591219875290334,0.9316837317219772,0.807178622071256,-0.6717938716487905,-0.6730447520204728,-0.7472113475359023,0.5005510195820223,3.282862914770302,-0.504120115363358,-0.5212327297461334,-0.6463482427809445,-0.46415681957123617,0.27674589254867304,0.10657666554751732,-0.5528940912720206,-0.3373131607301358,-0.3983564217910304,1.7572770082594864,-0.11252032801420868,-0.5754165793412251,-0.5480131142523339,0.45257766254887777,-0.4801950999267535,-0.2232118611461149,-0.004566239738842757,0.13249042149045906,0.13333628729765895,-0.28805138553866155,-0.5512997129957634,-0.5271764656389322,-0.007364725227612649,1.0,300.05,
Selinexor,0.7747452691832578,0.9853165929589854,0.5027040696755601,0.6854605415466485,1.3974365449116057,0.8990439253338758,-0.4464417870704426,1.1361011417524864,1.7024843805985983,0.6043803952270073,-0.7029403607548724,-0.5058671841706373,0.08335891459123694,-0.2687722980920314,0.7478470203375218,0.375277566496802,-0.329792747725269,-0.3842027328486774,-0.4366927502900747,0.08473963067063431,-0.24865892857061875,-0.5220545361328178,1.4095465300113943,1.0860168616411694,1.4352227909305513,-0.2534839321130573,-0.7720684272319881,0.9881393781166619,1.2132976833241267,0.6925812319208318,0.85336478923737,1.5189869166095904,-0.7419359981818967,0.9661571444543279,1.1716826301519383,-0.5039004283469621,1.2430393860827387,1.2513612756713268,0.7723915961300947,1.0,443.3,3.0
Romidepsin,2.053785586984727,2.234508631271989,1.4194296231688355,0.38323693984429613,-0.41463764795823826,-0.7533386176444455,-0.269008008262795,0.04664390475552354,-0.8055782789246217,-0.7779952991912845,-0.9125940676556183,-0.5161572113010654,-0.4703483446277923,-0.3186096990757679,0.1598320852077786,-0.44588486615680906,-0.506843980482703,-0.37488096435225177,-0.23868478515980876,-0.3421798306285983,0.620785128692528,1.4541366640176003,2.1786295945685,2.239835760351951,1.806508049418655,-0.5387596979434134,-1.1255914249446712,1.7328394461662642,1.1761474216433632,-0.1673787870952986,1.9785946527178788,2.4134312262975697,0.12008061131600538,1.6091300813144338,1.5700199716514753,-0.19191771209422612,2.230244473554292,1.7585904042022085,-0.2326263170464058,1.0,540.7,2.2
Chlorambucil,1.1699437862714697,1.678308653433549,2.896788448118348,0.5455912198985248,0.436472325363726,0.6443765194865497,-0.11604946400330036,0.008932958717831467,0.2530744592382482,-0.05085307365634041,-0.7147780281428865,-0.2666240533881838,-0.03529264095569791,-0.48805686242047225,-0.04350018208007657,-0.3620927811921549,-0.22628587319015375,-0.33106865241905153,0.41940051071431034,-0.07208792654132869,-0.5436344104229465,-0.8678813240581532,2.1740350340707124,1.9210371414323348,1.488925399115774,-0.44488879468833364,-0.09110509157379372,1.4584508230835136,1.7424442568887588,-1.1020628725649664,1.326103365242405,2.082751152558541,0.14684489896456282,1.2458353752490037,1.2003988302918542,-0.06852005401293916,1.7464536235090329,1.624722188939823,1.11225665141312,1.0,304.2,1.7
Plerixafor,-0.3688898795291652,-0.363054333742347,-0.25602546814995863,0.3824521097969815,0.6799259024622393,-0.08617357815908654,0.46945174309048177,0.6565958328168943,-0.33873264025491595,0.09215424163676653,0.3843561920913312,-0.07111353791004969,0.7211110256560117,-0.08935765455057977,-0.34025538298667607,0.291485481532148,-0.5286349014374642,-0.1353115139941143,0.4194005107143102,0.4245326712965541,0.026626888969541178,-0.3127236880438303,-0.31711794184852965,-0.4059879809941901,-0.315080597487051,-0.005349799944656104,-0.23339286446155066,-0.2234080389536508,-0.04799438602673128,0.138272196590356,-0.2856829916499216,-0.15345007410847342,0.18390780817514127,-0.10415903657505152,-0.15555190846680622,-0.19937517576294697,-0.2850022246589598,-0.16965649066981486,-0.2719109285678971,0.0,502.8,
