dimension,spearman_r,spearman_p,pearson_r,pearson_p,n_drugs,abs_spearman
16,-0.22277922400488243,0.004900490195069881,-0.20823889512260169,0.008649999128294636,158,0.22277922400488243
2,-0.1781146616928461,0.025154349836905537,-0.17204497555560386,0.03065332009536482,158,0.1781146616928461
13,0.16128254982733337,0.042922195088031356,0.13305724130260588,0.09558553895444923,158,0.16128254982733337
17,-0.1483122444095403,0.06292061512382872,-0.15104690674554075,0.058166837139393766,158,0.1483122444095403
5,-0.13163979822322452,0.09920279928718465,-0.13178182507986183,0.09883554570777821,158,0.13163979822322452
0,-0.13015414190286606,0.1031093773371047,-0.15567622094820083,0.05079506676132844,158,0.13015414190286606
4,-0.11397182440162429,0.15390334235481065,-0.1447795978351321,0.06952760592250441,158,0.11397182440162429
8,0.07980568418098559,0.3188773895551142,0.0612795274225478,0.44434615791827886,158,0.07980568418098559
12,0.07614122928615412,0.34167440092576473,0.04538201902582155,0.5712541167699678,158,0.07614122928615412
18,0.06575489673272067,0.4117304682381512,0.044065471318919344,0.5824816447331151,158,0.06575489673272067
15,-0.05843966131410756,0.46577778638050593,-0.0245539026585292,0.7594270495643309,158,0.05843966131410756
10,0.05623543144663176,0.4827968634278791,0.017310757762037537,0.8290803007424679,158,0.05623543144663176
6,-0.04601493540689085,0.5658931505561419,-0.08566618866957992,0.2845176697617878,158,0.04601493540689085
11,-0.041880058978887524,0.6013406850883743,-0.09296406982739402,0.24532507815841878,158,0.041880058978887524
19,0.03524549635975871,0.66019216853368,0.0832160390784803,0.2985685740776905,158,0.03524549635975871
7,0.029323128480174834,0.7145606023633312,0.03536165603653829,0.6591422460978816,158,0.029323128480174834
3,-0.029205447754466804,0.7156567293469676,-0.032340571982466274,0.6866595952519452,158,0.029205447754466804
9,0.027656432575569122,0.7301382624992696,0.01398981598075389,0.8615027911012352,158,0.027656432575569122
1,-0.01818552915444652,0.8205852972181282,-0.04687860257818595,0.558616494975419,158,0.01818552915444652
14,0.011212305230272297,0.8888007886167549,0.09109645894679493,0.25497805692791187,158,0.011212305230272297
