method,property,component,correlation,p_value,type,n_samples,abs_correlation
sax,c_max,PC83,0.2222283636688382,0.021414531081636885,correlation,107,0.2222283636688382
sax,half_life_hours,PC94,0.22214030049608377,0.022100814515199713,correlation,106,0.22214030049608377
catch22,molecular_weight,PC2,0.22187536491430876,0.005373964087228527,correlation,156,0.22187536491430876
sax,binary_dili,PC45,0.22134658734340693,0.005190834362924024,correlation,158,0.22134658734340693
sax,hepatotoxicity_boxed_warning,PC128,0.2209280774683727,0.0052785084211367595,correlation,158,0.2209280774683727
catch22,c_max,PC16,-0.22051448775454202,0.022465708578092592,correlation,107,0.22051448775454202
sax,c_max,PC110,0.2197474935270651,0.02295026658780309,correlation,107,0.2197474935270651
sax,half_life_hours,PC96,0.21825537540359674,0.02460153011979866,correlation,106,0.21825537540359674
sax,half_life_hours,PC62,0.2177503630295844,0.02494370157747596,correlation,106,0.2177503630295844
sax,half_life_hours,PC190,0.2166605581600456,0.025695958612728078,correlation,106,0.2166605581600456
catch22,binary_dili,PC10,-0.21406694722209635,0.006917384725013362,correlation,158,0.21406694722209635
sax,hepatotoxicity_boxed_warning,PC165,0.2139804240919989,0.006940663406033838,correlation,158,0.2139804240919989
sax,c_max,PC137,0.21395119160643813,0.026909790773266263,correlation,107,0.21395119160643813
sax,hepatotoxicity_boxed_warning,PC161,0.21301295699170694,0.00720574177617739,correlation,158,0.21301295699170694
sax,binary_dili,PC17,-0.21249983557244467,0.007349953416231186,correlation,158,0.21249983557244467
sax,logp,PC65,-0.21121039243381518,0.010768167905720017,correlation,145,0.21121039243381518
fourier,molecular_weight,PC9,-0.21085212293253994,0.008238534528151336,correlation,156,0.21085212293253994
sax,logp,PC73,0.2101709392007361,0.01117129319082665,correlation,145,0.2101709392007361
sax,molecular_weight,PC231,-0.21013268356917597,0.008465623194900558,correlation,156,0.21013268356917597
fourier,molecular_weight,PC6,-0.20996364376873322,0.008519777548438716,correlation,156,0.20996364376873322
sax,hepatotoxicity_boxed_warning,PC203,0.2091854325786565,0.008344803655554312,correlation,158,0.2091854325786565
sax,binary_dili,PC51,0.20861728371034752,0.00852682819876479,correlation,158,0.20861728371034752
catch22,c_max,PC15,0.2080825409965722,0.03149659634163746,correlation,107,0.2080825409965722
sax,logp,PC113,0.20735052707768198,0.012332664080864161,correlation,145,0.20735052707768198
sax,logp,PC89,-0.20616256495820173,0.012852678403180455,correlation,145,0.20616256495820173
sax,hepatotoxicity_boxed_warning,PC87,0.206159488676611,0.009355392817645539,correlation,158,0.206159488676611
sax,hepatotoxicity_boxed_warning,PC110,0.20572927382114564,0.009507523352126818,correlation,158,0.20572927382114564
sax,binary_dili,PC93,0.2055728383831706,0.009563380575114409,correlation,158,0.2055728383831706
sax,c_max,PC183,0.20554426253062633,0.033676221787528875,correlation,107,0.20554426253062633
sax,hepatotoxicity_boxed_warning,PC178,0.20528862864050784,0.009665603059901304,correlation,158,0.20528862864050784
sax,hepatotoxicity_boxed_warning,PC204,0.2052318429012754,0.009686142572459236,correlation,158,0.2052318429012754
sax,hepatotoxicity_boxed_warning,PC216,0.20454061497529225,0.009939267466139042,correlation,158,0.20454061497529225
sax,hepatotoxicity_boxed_warning,PC93,0.20381801287652188,0.01021010313020178,correlation,158,0.20381801287652188
sax,binary_dili,PC87,0.203450360715967,0.010350382607071872,correlation,158,0.203450360715967
sax,binary_dili,PC211,-0.20331963656439994,0.010400668847960188,correlation,158,0.20331963656439994
custom,hepatotoxicity_boxed_warning,PC2,0.2031786279281923,0.010455152509956251,correlation,158,0.2031786279281923
sax,c_max,PC75,0.20304160102726357,0.0359483869873561,correlation,107,0.20304160102726357
sax,binary_dili,PC84,0.2030325713590652,0.010511851602820126,correlation,158,0.2030325713590652
sax,hepatotoxicity_boxed_warning,PC46,0.20266328531103328,0.010656418230342716,correlation,158,0.20266328531103328
sax,half_life_hours,PC95,0.20245763101473352,0.037404658546435786,correlation,106,0.20245763101473352
